Krippendorff,Cohen,Percent_Agreement,Krippendorff_Quality,Krippendorff_CI_lower,Krippendorff_CI_upper,Task,Cohen_Quality,Cohen_CI_lower,Cohen_CI_upper
0.6004972831021526,,84.78260869565217,Poor Agreement -> WORK REQUIRED,0.35293641865013725,0.7668988797602004,Age of Participants,,,
0.8493306238268188,,80.43478260869566,Substantial Agreement,0.7881154341204901,0.9166308592570992,Application Form,,,
0.3983471074380166,0.4001753977501215,63.04347826086957,Poor Agreement -> WORK REQUIRED,0.2459622746266912,0.532955845008167,Clinical Trial Phase,Weak Agreement -> WORK REQUIRED,0.08946137400356298,0.71088942149668
0.8301109055685965,,73.91304347826086,Substantial Agreement,0.7687483044982472,0.9018548149324462,Condition,,,
0.5820040440350484,0.5982452770420716,58.69565217391305,Poor Agreement -> WORK REQUIRED,0.4238262874968533,0.6950185407977592,Data Collection,Weak Agreement -> WORK REQUIRED,0.38608949648976604,0.8104010575943771
0.5539952640563908,0.553380033194515,39.130434782608695,Poor Agreement -> WORK REQUIRED,0.45706022854032186,0.6357523665510857,Data Type,Weak Agreement -> WORK REQUIRED,0.36772026410258213,0.739039802286448
0.8247863247863247,0.8240267114173768,73.91304347826086,Substantial Agreement,0.7532420211971936,0.8845506513355538,Number of Participants,Strong Agreement,0.7045370009239323,0.9435164219108213
0.4570706826320813,,26.666666666666668,Poor Agreement -> WORK REQUIRED,0.36539741056465636,0.5372035890805993,Outcomes,,,
0.4544047977449164,,36.95652173913043,Poor Agreement -> WORK REQUIRED,0.35582563198646805,0.5491457507573084,Regimen,,,
0.7435862329124338,,73.91304347826086,Moderate Agreement,0.6476589069851014,0.8402262004902236,Setting,,,
0.774356504186805,,82.6086956521739,Moderate Agreement,0.6654997695036196,0.872534930914571,Sex of Participants,,,
0.38869748944453675,,45.65217391304348,Poor Agreement -> WORK REQUIRED,0.23386706436404497,0.5087194205520791,Study Conclusion,,,
0.6004374523092457,,45.65217391304348,Poor Agreement -> WORK REQUIRED,0.5064750446969544,0.6850931313681463,Study Control,,,
0.5943196934527936,,34.78260869565217,Poor Agreement -> WORK REQUIRED,0.5218968859405783,0.6596851331638395,Study Purpose,,,
0.7503989626969878,0.7535266685952605,65.21739130434783,Moderate Agreement,0.6644012468364834,0.8339793077930506,Study Type,Moderate Agreement,0.6100936342316464,0.8969597029588744
0.5951951421226578,,65.21739130434783,Poor Agreement -> WORK REQUIRED,0.47155185206139366,0.7014667652704868,Substance Naivety,,,
0.7719904235232047,,56.52173913043478,Moderate Agreement,0.7130696072696628,0.8313532000594132,Substances,,,
